CustomerID,VehicleType,Model,km,StartingStation,DestinationStation,City,Review
11,Bike,major616,25.83,Disneyland Resort,Main Street Square,Colorado Springs,5
11,Car,small592,15.11,Sunset Road,Crown Center,Greensboro,0
11,Car,style264,75.86,Old Town Transit Center,South Main Street,San Diego,4
11,Car,visit155,48.04,Scaleybark Station,Northland Transit Center,Miami,4
12,Bike,group442,92.86,Duke University,Ogilvie Transportation Center,Phoenix,5
12,Bike,piece542,36.25,Columbus Commons,Superior Station,New York,4
12,Car,several464,20.86,Lexington Market,Steel Plaza Station,Tulsa,2
13,Bicycle,fine171,53.76,Evans Station,Lindbergh Center,Irvine,5
13,Bike,interview220,66.31,Nine Mile Station,Nicollet Mall Station,Henderson,3
13,Bike,nothing156,32.39,South Main Street,Five Points Station,Arlington,4
13,Car,Republican575,94.22,Disneyland Resort,Fayette Mall Station,Sacramento,3
14,Bike,important278,74.03,Victory Station,Admiral Boulevard,Corpus Christi,1
14,Bike,others323,81.36,Superior Station,Arena District Station,Albuquerque,5
14,Bike,peace913,39.3,Penn Station,Jeffrey Road Station,Mesa,3
14,Car,specific544,76.1,Superior Station,Sunport Station,Houston,3
14,Car,why108,88.51,Charlotte Gateway Station,Ayers Station,St. Louis,2
15,Bicycle,anyone997,57.36,Fruitvale Station,Downtown Plano,Anchorage,1
15,Bike,method935,37.36,Mountain Metro Station,Capitol Station,Cleveland,3
15,Bike,population327,63.27,Hermitage Station,Virginia Avenue Station,Minneapolis,1
16,Bike,nice365,99.01,Donelson Station,Pioneer Courthouse Square,San Jose,0
16,Car,wear591,97.52,Ayers Station,Pikes Peak Station,San Antonio,4
17,Bicycle,attack869,53.35,Nicollet Mall Station,Peachtree Center,Lexington,3
17,Bicycle,build432,22.45,Sahara Station,Crystal City Station,Miami,4
17,Bicycle,daughter253,49.95,Central Station,Rosa Parks Transit Center,El Paso,2
17,Car,specific544,66.66,North Station,Peachtree Center,Anaheim,4
17,Car,state345,7.63,Montgomery Street Station,Times Square,Denver,2
18,Bike,hear709,36.94,Warehouse District,Bush Turnpike,Plano,3
18,Bike,paper852,60.84,Powell Street Station,Montano Station,Aurora,2
18,Car,receive117,38.06,Fruitvale Station,Okeechobee Station,Raleigh,0
18,Car,standard800,26.75,Hemming Park,Crestview Station,Durham,5
18,Car,wear591,75.23,Penn Station,Fulton Street,Wichita,5
19,Bicycle,ball282,37.95,Montgomery Street Station,Okeechobee Station,Minneapolis,3
19,Bicycle,bring400,75.29,Amtrak Station,Johns Hopkins Hospital Station,Lexington,5
19,Car,than685,97.94,Downtown Plano,Music City Central,Sacramento,2
20,Car,rock718,22.46,Civic Center Station,Crown Center,Tampa,0
21,Bicycle,across985,10.04,Sand Lake Road,Jefferson/1st Ave,Charlotte,3
21,Bike,industry317,50.16,Auraria West,VIA Metro Center,Anaheim,1
21,Bike,major616,14.08,Fayette Mall Station,Riverplace Station,Greensboro,1
21,Car,until703,93.55,Pershing Square,Intermodal Transportation Center,Corpus Christi,3
22,Bicycle,east242,20.18,Highland Station,30th Street Station,Washington DC,5
22,Bike,provide514,46.46,Court House Station,Anaheim Canyon,Tulsa,1
23,Bicycle,charge978,14.52,Disneyland Resort,Five Points Station,Dallas,1
23,Bike,most211,92.62,Rosemont Station,Meadow Woods,Virginia Beach,0
23,Car,treatment984,81.67,Pearlridge Station,Five Points Station,Boston,4
23,Car,write753,70.2,Old Town Transit Center,Montano Station,Minneapolis,1
24,Bicycle,by498,59.01,Jeffrey Road Station,30th Street Station,Raleigh,1
24,Bike,open947,86.6,Civic Center Station,Charlotte Gateway Station,Las Vegas,1
24,Bike,party933,83.23,Woodlawn Station,Rosa Parks Transit Center,Bakersfield,3
24,Car,small592,44.96,Northland Transit Center,Kings Avenue Station,Cincinnati,1
24,Car,small592,93.31,Jeffrey Road Station,Brundage Station,Henderson,5
24,Car,until703,80.75,Aragona Village,Alma School Station,Corpus Christi,4
25,Bicycle,campaign681,93.15,Steel Plaza Station,Kings Avenue Station,Bakersfield,5
25,Bike,himself386,69.36,Montgomery Street Station,Downtown Anaheim,Philadelphia,1
25,Bike,operation269,84.13,Horizon Ridge,South Main Street,Los Angeles,1
25,Car,reduce598,20.94,Central Station,Texas A&M University Station,San Jose,4
25,Car,reduce598,10.92,St. Charles Avenue,Peoria Station,Stockton,4
25,Car,try871,38.85,Alton Parkway,Fruitvale Station,San Jose,4
26,Car,writer502,57.2,Santa Fe Depot,Victory Station,Indianapolis,3
27,Bicycle,charge978,13.4,Cary Station,Lodi Station,Kansas City,3
28,Bicycle,charge978,99.98,Wood Street Station,Pepsi Center/Elitch Gardens,Bakersfield,2
28,Bike,meeting760,73.84,Union Station,Mountain Metro Station,Arlington,0
28,Bike,might296,62.88,West End Station,Hamburg Pavilion,Stockton,5
29,Bicycle,board485,28,Texas A&M University Station,Pepsi Center/Elitch Gardens,Detroit,3
29,Car,theory659,71.84,Southpoint Mall,Sahara Station,Bakersfield,0
30,Car,side812,29.43,East 55th Street,Anaheim Canyon,Colorado Springs,0
31,Bicycle,charge978,69.56,Alston Avenue,ARTIC Station,Lexington,5
31,Bicycle,culture544,15.53,Cobo Center,Anaheim Canyon,Baltimore,0
32,Bicycle,art789,48.91,Parker Road Station,Fayette Mall Station,Atlanta,3
32,Bicycle,daughter253,50.48,Fayette Mall Station,Parker Road Station,Las Vegas,3
32,Bicycle,effect321,49.9,Civic Center,Texas & Pacific Station,Lexington,0
32,Bicycle,generation834,84.12,El Paso Streetcar,Peachtree Center,Honolulu,0
32,Car,someone179,81.8,Ala Moana Station,South Strip Transfer Terminal,Portland,0
32,Car,that455,70.44,Four Seasons Town Centre,North Main Street,Anchorage,2
33,Bicycle,able668,5.84,Warehouse District,Government Center,Dallas,4
33,Bicycle,environment918,94.03,Central Station,Third Ward Station,Aurora,4
33,Bike,ground556,11.2,Okeechobee Station,Museum District,Austin,4
33,Bike,play151,68.47,Mountain Metro Station,19th Street Station,Arlington,3
33,Bike,prevent494,88.68,Downtown Station,Milwaukee Intermodal Station,Anaheim,0
33,Car,Republican575,54.06,Crystal City Station,Crossroads Mall Station,Los Angeles,4
33,Car,wear591,52.04,Highland Station,North Side Station,Detroit,0
33,Car,yard386,30.32,Charles Center Station,Auraria West,Los Angeles,5
33,Car,yard386,65.66,HART Downtown Station,University of Arizona,Cincinnati,4
34,Car,various863,64.69,LaSalle Street,Civic Center Station,New York,2
35,Bicycle,economic767,66.14,Riverfront Transit Center,Central Station,Albuquerque,3
35,Car,writer502,36.59,St. Rose of Lima Park,West End Station,Louisville,3
36,Bike,information808,98.78,Sun Metro Terminal,Santa Clara Station,Houston,0
36,Bike,provide514,30.92,El Paso Streetcar,Water Street,Los Angeles,2
37,Bicycle,eight904,15.04,Civic Center Station,Alton Parkway,Albuquerque,5
37,Bike,might296,78.52,Sun Metro Terminal,Marion Transit Center,Los Angeles,5
37,Car,throw562,46,Military Highway,19th Street Station,Los Angeles,3
38,Bike,half517,69.9,19th Street Station,Central Station,Boston,1
38,Car,series705,77.94,Water Street,Times Square,Denver,1
38,Car,whom371,58.9,Brundage Station,Intermodal Transportation Center,Los Angeles,4
39,Bicycle,defense776,70.75,Third Ward Station,Ogilvie Transportation Center,Virginia Beach,1
39,Bicycle,every622,26.04,Grand Central,Pioneer Courthouse Square,Portland,5
39,Bicycle,game882,10.35,Montano Station,Anthem Parkway,Virginia Beach,4
39,Bike,nation734,48.64,Nicollet Mall Station,Fulton Mall,Omaha,1
39,Car,recently892,81.92,Irvine Station,Delmar Station,Charlotte,2
39,Car,than685,83.93,Rosa Parks Station,East 55th Street,Omaha,3
39,Car,you668,18.8,Woodlawn Station,Music City Central,Miami,1
40,Bike,group442,9.65,Milwaukee Intermodal Station,Fayette Mall Station,Milwaukee,5
40,Bike,operation269,72.6,Country Club Station,Montgomery Street Station,Detroit,5
41,Bicycle,budget626,6.79,Fountain Square Station,Alton Parkway,Jacksonville,2
41,Car,side812,43.55,Charles Center Station,Superior Station,Washington DC,4
41,Car,sort931,11.52,Central Station,Liberty Street,Baltimore,3
41,Car,why108,86.96,Downtown Wichita,Goose Hollow,El Paso,4
42,Bicycle,across985,36.64,Preston Street Station,Bush Turnpike,New Orleans,2
42,Bicycle,budget626,45.22,Metro Center,Bell Station,Louisville,0
42,Car,recently555,9.99,Grand Central,Union Station,Lexington,1
42,Car,world750,95.34,Downtown Anaheim,VIA Metro Center,San Francisco,1
43,Bicycle,choose351,13.59,Whiting Street Station,North Main Street,Corpus Christi,5
43,Car,treatment984,46.7,Millard Station,Sun Metro Terminal,Atlanta,1
45,Bicycle,campaign681,29.12,Milwaukee Intermodal Station,Fulton Mall,Indianapolis,3
45,Bike,most211,91.67,Broadway Station,South Station,Memphis,0
46,Bike,middle530,88.63,VIA Metro Center,Pepsi Center/Elitch Gardens,Portland,5
46,Car,rock127,1.28,City College Station,HART Downtown Station,Nashville,3
47,Bicycle,bit862,51.71,Rosemont Station,Target Field Station,St. Louis,1
47,Bicycle,both565,46.37,Lake Merritt Station,St. Rose of Lima Park,Columbus,2
47,Bike,property795,13.53,Hamburg Pavilion,Cary Station,Virginia Beach,1
47,Car,Republican575,50.83,Ayers Station,Broadway Station,Raleigh,0
47,Car,reveal311,91.48,Crestview Station,Sunport Station,St. Louis,4
47,Car,while940,72.4,Market East Station,Fulton Street,Denver,1
47,Car,yard386,24.3,Jeffrey Road Station,Quarry Market,Columbus,3
48,Bike,material103,56,Convention Center,Midtown Station,Cleveland,2
48,Car,visit419,51.07,Civic Center Station,Eagle River,Austin,4
49,Bike,probably374,59.4,Cobo Center,Capitol Station,Pittsburgh,4
50,Car,sell214,97.47,Montebello/19th Ave,Downtown Station,Memphis,3
50,Car,under336,50.33,Farragut North,Lakeline Station,Baltimore,3
50,Car,world750,54.36,Amtrak Station,South Main Street,Washington DC,2
51,Bicycle,bit862,35,Sun Metro Terminal,Hamburg Pavilion,Cincinnati,1
51,Bicycle,bring400,74.76,Fulton Mall,Ballston Metro Station,Atlanta,0
51,Bike,inside924,55.04,East/West Boulevard,Bush Turnpike,Nashville,0
51,Bike,laugh199,57.76,Five Points Station,City College Station,Nashville,4
51,Bike,method935,98.42,Stockton Station,Stockyards Station,Bakersfield,3
51,Car,receive117,30.07,Kings Avenue Station,Northland Transit Center,Aurora,2
51,Car,recently555,70.58,Pikes Peak Station,Fountain Square Station,St. Louis,1
52,Bicycle,drug756,48.18,Shrewsbury-Lansdowne I-44,Florida Station,Fresno,0
52,Bike,population327,13.55,Kern Station,West Oakland Station,Stockton,5
53,Bicycle,build432,23.36,Highland Avenue,South Station,Boston,3
53,Bike,industry781,77.03,Michigan Avenue Station,Rosemont Station,Tulsa,2
53,Bike,land825,29.41,Iliff Station,Auraria West,Atlanta,2
53,Bike,meeting760,71.22,30th Street Station,Downtown Station,Charlotte,0
53,Car,total312,9.01,West 25th Street,Sacramento Valley Station,Memphis,2
54,Car,recently555,6.39,Marion Transit Center,Target Field Station,New York,4
55,Bicycle,game882,32.8,Tamien Station,Powell Street Station,New Orleans,5
55,Bike,onto719,26.81,Tower District,LaSalle Street,Boston,1
55,Bike,provide514,36.96,Kings Avenue Station,Cobo Center,Milwaukee,4
55,Car,while940,89.01,Friendly Center,Linden Station,Plano,3
56,Bicycle,doctor366,45.56,Milwaukee Intermodal Station,Riverplace Station,Los Angeles,0
56,Bike,open947,74.66,Downtown Station,Powell Street Station,San Diego,3
57,Bicycle,choose351,78.08,Downtown Transit Center,Five Points Station,Las Vegas,3
57,Bicycle,generation834,74.99,UNCG Station,South Station,Seattle,4
57,Bike,local516,52.31,Guthrie Green Station,Parker Road Station,Raleigh,3
57,Bike,population327,22.99,Lindbergh Center,LaSalle Street,Orlando,5
57,Car,series705,70.23,Pearlridge Station,Pikes Peak Station,Arlington,2
57,Car,theory659,66.51,Downtown Transit Center,Downtown Station,Charlotte,2
58,Bike,party933,87.24,Union Station,Tamien Station,Plano,2
58,Car,rock718,29.43,Alvarado Transportation Center,Riverfront Station,Tulsa,5
59,Bicycle,ball282,53.88,Broadway Station,Tower District,Raleigh,4
59,Bike,most211,80.61,HART Downtown Station,Lynx Central Station,Virginia Beach,3
60,Bicycle,across985,1.25,Fruitvale Station,Union Station,El Paso,0
60,Bicycle,both565,57.73,City College Station,Rosemont Station,Aurora,3
60,Bicycle,eight904,89.75,Texas & Pacific Station,Montano Station,Los Angeles,4
60,Car,rock718,61.14,Evans Station,Woodlawn Station,Plano,3
60,Car,single245,5.83,Civic Center,Rosa Parks Station,Greensboro,0
60,Car,sport325,89.29,Intermodal Transportation Center,Country Club Station,Cleveland,5
60,Car,town838,11.7,Alma School Station,South Main Street,Charlotte,1
60,Car,write753,38.27,Anthem Parkway,Sand Lake Road,Cincinnati,0
61,Bicycle,citizen320,90.11,Government Center,Texas & Pacific Station,St. Louis,3
61,Bicycle,game882,45.81,West End Station,Union Station,New York,2
61,Bike,peace913,64.6,St. Rose of Lima Park,Pepsi Center/Elitch Gardens,Stockton,3
62,Bicycle,generation834,64.19,Bell Station,Tower City Station,Tulsa,2
63,Car,sometimes970,90.65,Westlake Station,Nicollet Mall Station,Corpus Christi,5
63,Car,sport325,40.52,Station Square,Highland Station,Baltimore,0
64,Bicycle,air341,13.84,Ogilvie Transportation Center,Whiting Street Station,Atlanta,1
64,Bike,ground556,54.39,Old Town Wichita,Downtown Transit Center,Washington DC,2
65,Bike,provide514,99.6,Union Station,Parker Road Station,Chicago,0
65,Car,such610,24.79,University of Arizona,Times Square,Austin,1
66,Bicycle,dark711,48.29,Midtown Station,Downtown Station,New Orleans,1
66,Bike,probably583,62.9,Old Town Transit Center,Durham Station,San Antonio,2
67,Bicycle,art789,88.44,Mockingbird Station,Crown Center,Raleigh,4
67,Bicycle,easy651,76.48,Civic Center Station,East/West Boulevard,San Antonio,1
67,Bike,law117,74.46,Montano Station,South Station,Houston,4
67,Car,so711,38.11,Church Street Station,Newtown Road,Honolulu,4
67,Car,visit155,21.88,Southpoint Mall,Sacramento Valley Station,Henderson,3
68,Car,though502,30.29,Capitol Station,Glory Road Transit Center,Phoenix,0
69,Bicycle,campaign681,23.47,Anchorage Depot,Crestview Station,Dallas,2
69,Bicycle,discuss378,43.17,Montano Station,Arlington Transit Station,Anaheim,2
69,Bike,management684,45.43,Convention Center,Riverfront Transit Center,Oakland,4
69,Car,relate578,27.03,King Street Station,VIA Metro Center,San Jose,3
69,Car,war143,34.66,Midtown Station,Crestview Station,Bakersfield,3
69,Car,way160,94.86,Five Points Station,Arlington Transit Station,Minneapolis,2
70,Bicycle,air341,34.1,Metro Center,Citadel Mall,Colorado Springs,1
70,Bicycle,because502,84.75,City College Station,Nicollet Mall Station,Greensboro,3
70,Bike,half517,46.53,Florida Station,University Street Station,San Antonio,5
70,Bike,property795,97.56,Moore Square Station,Disneyland Resort,Lexington,4
70,Car,rock127,67.69,Fruitvale Station,Diridon Station,Durham,4
71,Bicycle,course154,37.52,Pearlridge Station,Michigan Avenue Station,Fresno,3
71,Bike,meeting760,36.05,University Street Station,Auraria West,Jacksonville,5
71,Car,thank397,44.16,Culver Drive Station,Victory Station,Portland,2
71,Car,where592,2.6,Highland Station,Union Station,Anchorage,5
72,Bicycle,citizen320,70.45,Aragona Village,Alkali Flat/La Valentina,Fresno,0
72,Bike,industry808,57.66,Parker Road Station,Fulton Street,Cincinnati,1
72,Bike,middle530,82.13,Highland Station,South Main Street,Las Vegas,0
73,Bicycle,attack869,29.86,Broadway Station,Green Valley Station,Phoenix,3
74,Bicycle,daughter253,47.94,Quarry Market,Lindbergh Center,Orlando,3
75,Bicycle,doctor366,80.61,Civic Center Station,Parker Road Station,Louisville,0
75,Bicycle,effect321,16.08,Civic Center Station,Tulane Avenue,Charlotte,2
75,Bicycle,election652,14.48,University of Arizona,Riverfront Transit Center,Pittsburgh,5
75,Bicycle,fine171,7.2,UNCG Station,Central Station,Cincinnati,5
75,Bike,most211,66.64,Gateway Center,Montgomery Street Station,Oakland,5
76,Bike,heart580,17.55,UNCG Station,Meadow Woods,Arlington,1
76,Car,recently555,45.33,Third Ward Station,New Center,Albuquerque,1
77,Bicycle,bit862,61.69,Alma School Station,Intermodal Transportation Center,Boston,0
77,Bicycle,court168,17.52,Alamo Station,Cobo Center,Plano,1
77,Car,throw562,86.93,Glory Road Transit Center,Pioneer Courthouse Square,Denver,1
77,Car,total312,38.91,Montano Station,ARTIC Station,Los Angeles,0
78,Bicycle,defense776,67.8,Stockyards Station,Quarry Market,Fort Worth,0
78,Bicycle,eight904,74.89,Back Bay Station,Dobson Station,Honolulu,5
78,Car,seat130,43.41,Crestview Station,Highland Avenue,Irvine,2
78,Car,set719,39.78,Milwaukee Intermodal Station,Charles Center Station,Phoenix,4
79,Bike,operation269,66.8,Milwaukee Intermodal Station,Mountain Metro Station,Arlington,4
79,Bike,provide514,88.39,Stockyards Station,Dobson Station,Louisville,2
79,Car,some938,19.54,Santa Clara Station,University Street Station,San Francisco,1
79,Car,spend345,74.3,Woodlawn Station,Riverplace Station,Durham,5
79,Car,whom371,96.71,Downtown Wichita,Aurora Metro Center,San Francisco,4
80,Car,you668,24.96,Lakeline Station,Montano Station,Jacksonville,1
81,Bike,off105,46.62,Crown Center,Horizon Ridge,El Paso,1
81,Bike,probably583,49.73,Michigan Avenue Station,Airport Station,Los Angeles,2
81,Car,sell214,17.46,Tower District,Aurora Metro Center,Charlotte,5
82,Bicycle,discuss378,24.79,Columbus Commons,Ronstadt Transit Center,Columbus,1
82,Car,until703,49.52,Midtown Station,Benson Station,Tucson,5
83,Bicycle,daughter253,18.06,Berryessa Station,Kern Station,San Diego,0
83,Bicycle,environment918,43.11,Citadel Mall,Lake Merritt Station,Chicago,0
84,Bicycle,course154,68.96,Aragona Village,Friendly Center,Austin,2
84,Bicycle,course154,17.82,Charles Center Station,Los Ranchos/Journal Center,Mesa,5
84,Bicycle,fine171,39.78,Intermodal Transportation Center,Downtown Station,Bakersfield,5
84,Car,reveal311,12.23,Tulane Avenue,Victory Station,Minneapolis,3
85,Bicycle,budget626,48.17,St. Rose of Lima Park,Central Station,Anchorage,2
85,Bicycle,cell541,94.85,Ayers Station,Old Town Wichita,Seattle,2
85,Bicycle,culture544,49.36,Amtrak Station,Aragona Village,Indianapolis,4
85,Bike,main889,69.27,Amtrak Station,Main Street Square,Baltimore,0
85,Car,receive117,98.48,ARTIC Station,Union Station,Fresno,5
86,Bike,might296,14.7,Downtown Station,Santa Clara Station,Raleigh,3
86,Car,single245,19.47,Johns Hopkins Hospital Station,Civic Center Station,Anchorage,5
87,Bike,prevent494,58.62,Church Street Station,Hermitage Station,Colorado Springs,0
87,Car,until491,11.5,South Station,University Street Station,San Diego,2
89,Bike,nothing156,26.88,Kings Avenue Station,Fulton Mall,Charlotte,5
90,Bicycle,art789,93.73,Central Station,Marion Transit Center,Colorado Springs,2
90,Bicycle,both565,35.41,Sand Lake Road,Denver Avenue Station,Arlington,3
90,Bicycle,doctor366,98.64,Rosa Parks Station,Charlotte Gateway Station,St. Louis,3
90,Bicycle,everybody737,96.69,Penn Station,Eagle River,Tucson,2
90,Bike,main889,11.83,Downtown Station,Auraria West,Washington DC,0
90,Car,side812,45.67,Amtrak Station,12th Street Station,Fort Worth,3
92,Bicycle,control593,97.99,Music City Central,Fulton Mall,Nashville,0
93,Bike,hot339,13.59,Powell Street Station,Arena District Station,Oakland,3
93,Bike,information808,39.35,Lynx Central Station,Hermitage Station,Greensboro,2
93,Bike,laugh199,69.82,Ala Moana Station,Hermitage Station,Chicago,3
93,Bike,off105,84.36,Los Ranchos/Journal Center,Santa Clara Station,Boston,1
93,Bike,particularly341,47.17,Amtrak Station,Delano Station,Albuquerque,0
93,Car,side812,93.32,GTA Depot,Haymarket Station,Nashville,0
93,Car,yard386,79.28,Southside Transit Center,Sacramento Valley Station,Dallas,5
94,Bicycle,argue857,91.38,Gaslamp Quarter,Back Bay Station,Boston,2
94,Bike,method877,84.07,Main Street Square,7th Street/Metro Center,Tulsa,0
94,Bike,realize232,51.02,Eagle River,Times Square,Seattle,5
94,Car,sister161,58.95,West Oakland Station,Arena District Station,Cincinnati,5
95,Bicycle,bit862,5.15,Michigan Avenue Station,Suburban Station,Tulsa,0
98,Bicycle,daughter253,35.44,South Main Street,West 25th Street,San Jose,3
98,Bicycle,easy615,48.98,North Station,Victory Station,St. Louis,1
98,Bike,property795,78.96,Union Station,Dobson Station,Corpus Christi,2
98,Car,single245,92.41,Union Station,Lexington Market,Charlotte,2
98,Car,someone179,38.84,Nine Mile Station,Penn Station,Baltimore,1
99,Bike,main531,25.04,Delano Station,Sacramento Valley Station,Pittsburgh,5
99,Bike,morning281,47.46,Warehouse District,Tower District,Oakland,2
99,Car,though502,11.33,Southside Transit Center,Museum District,Arlington,4
100,Bike,new216,56.01,LaSalle Street,Crossroads Mall Station,Colorado Springs,4
100,Bike,nice365,77.35,VIA Metro Center,Victory Station,Fresno,1
100,Bike,probably374,26.83,Sahara Station,HART Downtown Station,Phoenix,2
100,Car,still338,71.56,Millennium Station,Goose Hollow,Corpus Christi,4
101,Bicycle,both565,15.47,Ballston Metro Station,Warehouse District,Boston,2
102,Bicycle,concern588,75.75,Linden Station,Downtown Plano,Wichita,5
102,Bicycle,fine171,24.02,Florida Station,Pioneer Courthouse Square,Cleveland,2
102,Bike,group442,84.56,City College Station,Florida Station,Sacramento,2
102,Bike,off105,99.46,Alton Parkway,Farragut North,Tucson,4
102,Car,reveal311,20.23,Gallery Place,Suburban Station,San Jose,1
102,Car,those754,91.77,French Camp Station,Grand Central,New York,0
102,Car,you668,26.45,Disneyland Resort,Goose Hollow,St. Louis,5
103,Bicycle,defense776,99.07,Ballston Metro Station,Eagle River,San Antonio,5
103,Bike,industry317,89.62,South Station,Riverfront Station,El Paso,1
103,Bike,most211,4.72,Union Station,Downtown Plano,Albuquerque,5
104,Bicycle,attack869,47.75,Woodlawn Station,Crown Center,Jacksonville,1
104,Bicycle,eat356,63.8,Pikes Peak Station,Bell Station,Colorado Springs,3
104,Bike,himself386,67.56,North Side Station,East/West Boulevard,Louisville,2
104,Bike,open947,10.47,Aragona Village,Carondelet Street Station,Milwaukee,3
104,Car,try871,45.6,Eastside Terminal,El Paso Streetcar,Henderson,4
105,Bicycle,continue143,29.31,Glory Road Transit Center,Downtown Transit Center,Henderson,5
106,Bicycle,argue857,96.86,Third Ward Station,Guthrie Green Station,Honolulu,2
106,Bike,morning281,8.88,Union Station,River Market,Greensboro,0
106,Car,such610,96.32,Church Street Station,HART Downtown Station,Indianapolis,1
107,Car,someone179,30.98,12th Street Station,Dimond Center,Tampa,2
108,Bicycle,budget626,66.26,Court House Station,Friendly Center,El Paso,5
108,Car,series705,74.38,30th Street Station,19th Street Station,San Diego,3
108,Car,sometimes970,80.81,Irvine Station,Iliff Station,Louisville,5
109,Bike,piece542,85.01,Parker Road Station,Glory Road Transit Center,Plano,0
109,Car,some938,74.35,GTA Depot,Arlington Transit Station,Memphis,1
109,Car,whom371,44.28,Back Bay Station,City Hall Station,Arlington,3
110,Bicycle,air341,10.8,Texas & Pacific Station,Ballston Metro Station,Anaheim,1
110,Bicycle,citizen320,78.52,Steel Plaza Station,Woodlawn Station,St. Louis,5
110,Bicycle,fine171,73.11,Airport Station,Hemming Park,Columbus,1
110,Bike,off105,84.41,Southpoint Mall,Montgomery Street Station,Chicago,0
110,Bike,particularly341,78.66,Encanto/Central Ave,Midtown Station,Chicago,2
110,Car,reduce598,82.6,Fulton Street,Mountain Metro Station,Los Angeles,5
110,Car,thank397,36.31,Country Club Station,Southpoint Mall,Sacramento,5
110,Car,tonight642,55.01,Tulane Avenue,Los Ranchos/Journal Center,Boston,1
111,Bike,mission216,66.26,East 55th Street,St. Charles Avenue,Los Angeles,1
112,Bicycle,air341,10.79,Montano Station,Riverfront Station,San Diego,0
113,Bicycle,doctor366,69.2,Newtown Road,Crystal City Station,San Antonio,1
113,Bike,law117,82.59,Tamien Station,Five Points Station,San Diego,1
113,Bike,onto719,55.58,Crystal City Station,Airport Station,Denver,4
113,Car,sport325,5.03,Broadway Station,Alton Parkway,Durham,5
113,Car,way160,79.94,Jeffrey Road Station,Rosa Parks Station,Kansas City,2
114,Bicycle,doctor366,98.14,Fulton Street,Fayette Mall Station,Colorado Springs,2
114,Bike,heart580,10.7,19th Street Station,Country Club Station,Houston,5
114,Bike,probably583,64.53,Woodlawn Station,Lynx Central Station,Corpus Christi,5
114,Car,receive117,9.94,Alston Avenue,Virginia Avenue Station,Atlanta,5
114,Car,you668,8.44,East 55th Street,St. Rose of Lima Park,San Diego,5
115,Bicycle,discuss378,52.46,North Station,Rosemont Station,Stockton,3
115,Bike,interview220,68.18,Berryessa Station,Aurora Metro Center,Houston,5
115,Bike,peace913,52.99,Carondelet Street Station,Riverfront Station,Stockton,2
115,Bike,property795,86.44,French Camp Station,Duke University,Fort Worth,5
115,Car,receive117,16.66,Sand Lake Road,Lindbergh Center,Phoenix,2
115,Car,reduce598,60.96,Citadel Mall,El Paso Streetcar,Wichita,2
116,Bicycle,charge978,53.27,Okeechobee Station,Charlotte Gateway Station,Atlanta,4
116,Bike,realize232,9.9,Tamien Station,7th Street/Metro Center,Aurora,5
116,Car,rock127,34.65,Aragona Village,Centro Ybor,Indianapolis,5
118,Bicycle,attack869,81.4,US Bank Stadium,Hamburg Pavilion,Chicago,4
118,Bike,nation734,92.69,Kings Avenue Station,Powell Street Station,Minneapolis,2
